Région;Type équipement ou lieu;Total
Bretagne;Bibliothèque;1101
Bretagne;Centre d'art;5
Bretagne;Centre de création artistique;7
Bretagne;Centre de création musicale;1
Bretagne;Cinéma;128
Bretagne;Conservatoire;19
Bretagne;Espace protégé;84
Bretagne;Librairie;269
Bretagne;Lieu archéologique;53
Bretagne;Lieu de mémoire;8
Bretagne;Monument;3275
Bretagne;Musée;53
Bretagne;Papeterie et maisons de la presse;317
Bretagne;Parc et jardin;25
Bretagne;Scène;17
Bretagne;Service d'archives;44
Bretagne;Théâtre;43
Bretagne;Établissement d'enseignement supérieur;7
Nouvelle-Aquitaine;Bibliothèque;2019
Nouvelle-Aquitaine;Centre culturel;5
Nouvelle-Aquitaine;Centre d'art;11
Nouvelle-Aquitaine;Centre de création artistique;10
Nouvelle-Aquitaine;Centre de création musicale;1
Nouvelle-Aquitaine;Cinéma;238
Nouvelle-Aquitaine;Conservatoire;30
Nouvelle-Aquitaine;Espace protégé;195
Nouvelle-Aquitaine;Librairie;392
Nouvelle-Aquitaine;Lieu archéologique;169
Nouvelle-Aquitaine;Lieu de mémoire;28
Nouvelle-Aquitaine;Monument;6554
Nouvelle-Aquitaine;Musée;182
Nouvelle-Aquitaine;Opéra;2
Nouvelle-Aquitaine;Papeterie et maisons de la presse;763
Nouvelle-Aquitaine;Parc et jardin;66
Nouvelle-Aquitaine;Scène;55
Nouvelle-Aquitaine;Service d'archives;101
Nouvelle-Aquitaine;Théâtre;67
Nouvelle-Aquitaine;Établissement d'enseignement supérieur;13
